# Machine generated file, see rd_mupar.py

CUR 0x0020
TABLE 0x0025
TOPTA 0x0026
PFIRS 0x002a
RUNNI 0x002c
.0 0x002d
EXIT 0x002e
EFIRS 0x002f
FFIRS 0x0030
DELAY 0x0031
AREAP 0x0034
AFIRS 0x0035
FREQU 0x0036
MASK 0x0037
CORES 0x0038
PROGR 0x0039
RTIME 0x003c
POWIN 0x003e
CDUMP 0x003f
CPUTY 0x0040
BIT 0x0041
.1B1 0x0042
.1B2 0x0043
.1B3 0x0044
.1B4 0x0045
.1B5 0x0046
.1B6 0x0047
.1B7 0x0048
.1B8 0x0049
.1B9 0x004a
.1B10 0x004b
.1B11 0x004c
.1B12 0x004d
.1B13 0x004e
.1B14 0x004f
.1B15 0x0050
.3 0x0051
.5 0x0052
.6 0x0053
.7 0x0054
.9 0x0055
.10 0x0056
.12 0x0057
.13 0x0058
.15 0x0059
.24 0x005a
.25 0x005b
.40 0x005c
.48 0x005d
.56 0x005e
.60 0x005f
.63 0x0060
.120 0x0061
.127 0x0062
.255 0x0063
.M3 0x0064
.M4 0x0065
.M16 0x0066
.M256 0x0067
INTGIVEUP 0x0096
RINTGIVEUP 0x0097
INTBREAK 0x0098
RINTBREAK 0x0099
PINTBREAK 0x00a0
PRINTBREAK 0x00a1
CORE 0x00f1
COMLIST 0x00f2
COMNO 0x00f3
